"PTT DATE OF CHANGES","HSD"
27/01/2010,27.59
24/02/2010,28.69
28/03/2010,28.79
22/04/2010,29.89
26/05/2010,27.99
24/06/2010,28.89
25/07/2010,28.59
26/08/2010,27.79
13/10/2010,28.79
10/11/2010,29.39
25/01/2009,18.34
15/02/2009,19.59
27/03/2009,22.69
29/04/2009,22.79
31/05/2009,25.39
20/06/2009,27.39
29/07/2009,28.09
14/08/2009,27.69
30/09/2009,25.79
27/10/2009,28.19
17/12/2009,27.19
30/01/2008,29.14
28/02/2008,29.94
22/03/2008,30.94
30/04/2008,33.44
31/05/2008,39.04
30/06/2008,42.64
30/07/2008,37.94
29/08/2008,33.04
19/09/2008,30.74
30/10/2008,22.84
25/11/2008,21.04
31/12/2008,18.34
19/01/2007,22.54
24/02/2007,22.94
29/03/2007,24.14
26/04/2007,25.34
19/05/2007,25.34
02/06/2007,25.34
27/07/2007,25.74
09/08/2007,25.34
22/09/2007,27.34
31/10/2007,28.14
23/11/2007,29.34
26/12/2007,29.34
25/01/2006,24.69
22/02/2006,24.69
18/03/2006,25.49
28/04/2006,25.69
20/05/2006,26.74
23/06/2006,27.54
26/07/2006,27.54
31/08/2006,27.54
27/09/2006,24.54
28/10/2006,24.24
14/11/2006,23.84
23/12/2006,23.34
26/01/2005,14.59
23/02/2005,15.19
23/03/2005,18.19
30/04/2005,18.19
17/05/2005,18.19
30/06/2005,20.99
30/07/2005,22.59
29/08/2005,23.39
18/09/2005,24.19
28/10/2005,23.79
30/11/2005,22.69
24/12/2005,23.49
10/01/2004,14.59
07/05/2004,14.59
18/06/2004,14.59
29/07/2004,14.59
24/08/2004,14.59
21/10/2004,14.59
19/11/2004,14.59
17/12/2004,14.59
22/01/2003,14.79
08/02/2003,14.79
18/04/2003,14.49
31/05/2003,12.79
19/06/2003,12.79
24/07/2003,13.19
30/08/2003,13.99
24/09/2003,13.29
18/10/2003,14.09
21/11/2003,14.39
16/12/2003,14.39
30/01/2002,11.69
16/02/2002,11.99
30/03/2002,12.89
06/04/2002,13.49
29/05/2002,13.29
14/06/2002,12.79
11/07/2002,12.79
22/08/2002,13.39
26/09/2002,14.29
30/10/2002,14.39
16/11/2002,13.59
28/12/2002,14.59
23/01/2001,13.44
27/02/2001,12.94
28/03/2001,13.34
26/04/2001,14.54
29/05/2001,14.54
29/06/2001,14.04
21/07/2001,13.64
31/08/2001,14.14
27/09/2001,13.64
31/10/2001,12.79
22/11/2001,11.79
21/12/2001,11.2
26/01/2000,11.52
18/02/2000,11.82
25/03/2000,12.17
25/04/2000,11.12
26/05/2000,12.02
29/06/2000,12.99
21/07/2000,13.29
16/08/2000,13.89
29/09/2000,14.44
17/10/2000,15.04
22/11/2000,15.04
26/12/2000,13.1
